Gemeentecode;Wijkcode;Regionaam;Gemiddeld persoonlijk inkomen
;WK022205;Wijk 05;29.7
;WK022206;Wijk 06;26.2
;WK022207;Wijk 07;27.3
;WK022208;Wijk 08;31.2
;WK022209;Wijk 09;23.6
;WK022211;Wijk 11 Buitengebied Doetinchem;24.9
;WK022231;Wijk 31 Wehl;26.2
GM0225;Totaal;Druten;27.2
;WK022500;Druten;27
;WK022501;Puiflijk;29
;WK022502;Afferden;26.6
;WK022503;Deest;25.3
;WK022504;Horssen;29.7
GM0226;Totaal;Duiven;27.7
;WK022601;Wijk 01 Bedrijventerrein;.
;WK022602;Wijk 02 Buitengebied;27.9
;WK022603;Wijk 03 Duiven-Noord;26.4
;WK022604;Wijk 04 Duiven-Zuid;29.2
;WK022605;Wijk 05 Groessen;29.7
;WK022606;Wijk 06 Loo;29.9
GM0228;Totaal;Ede;26.8
;WK022801;Ede-Oost;31
;WK022802;Ede-West;26.2
;WK022803;Ede-Veldhuizen;23.4
;WK022804;Kernhem;26.8
;WK022805;Veluwse Poort;33
;WK022810;Ede-Zuid;24.3
;WK022811;Maandereng;24.1
;WK022812;Rietkampen;27.6
;WK022813;Bedrijventerrein;23.3
;WK022820;Buitengebied Ede-Stad;29
;WK022830;Bennekom;30.3
;WK022840;Lunteren;27.1
;WK022850;Ederveen;24.3
;WK022860;De Klomp;27.9
;WK022870;Harskamp;24.9
;WK022880;Wekerom;24.2
;WK022890;Otterlo;28.4
GM0230;Totaal;Elburg;24.6
;WK023001;Wijk 01 Elburg;24.6
;WK023002;Wijk 02 't Harde;24.6
;WK023003;Wijk 03 Doornspijk;24.8
GM0232;Totaal;Epe;26.6
;WK023200;Wijk 00 Epe;27.9
;WK023201;Wijk 01 Emst;27
;WK023202;Wijk 02 Vaassen;25.1
;WK023203;Wijk 03 Oene;25.6
GM0233;Totaal;Ermelo;27.9
;WK023300;Schil rondom het centrum;27.5
;WK023301;Centrum Ermelo;29.2
;WK023302;Tonsel en Veldzicht;28.4
;WK023303;Buitengebied west;28.2
;WK023304;Buitengebied midden;33.2
;WK023305;Buitengebied oost;29.5
GM0243;Totaal;Harderwijk;26.6
;WK024301;Binnenstad;32.7
;WK024302;Waterfront;34.8
;WK024303;Zeebuurt;23.5
;WK024304;Friesegracht;31
;WK024305;Stadsdennen;22
;WK024306;De Sypel;27.1
;WK024307;Stationsomgeving;25.5
;WK024308;Stadsweiden;25.1
;WK024309;Slingerbos;30
;WK024310;Tweelingstad;22.9
;WK024311;Frankrijk;27.4
;WK024312;Drielanden;28.4
;WK024313;Industrieterrein Lorentz;.
;WK024314;Buitengebied Harderwijk;30.8
;WK024315;Hierden;28.9
GM0244;Totaal;Hattem;28.1
;WK024400;Wijk 00 Hattem;27.7
;WK024401;Wijk 01 Polder Hattem en Molecaten;32.5
GM0246;Totaal;Heerde;26.4
;WK024600;Wijk 00 Heerde;27.3
;WK024601;Wijk 01 Wapenveld;24.7
GM0252;Totaal;Heumen;30.7
;WK025200;Wijk 00 Heumen;31.1
;WK025201;Wijk 01 Overasselt;29.5
GM0262;Totaal;Lochem;29.4
;WK026200;Wijk 00 Lochem kern;27.7
;WK026201;Wijk 01 Lochem buitengebied;31
;WK026202;Wijk 02 Laren;27.6
;WK026203;Wijk 03 Barchem;27.8
